relationship_id,source_company,source_segment,target_company,target_segment,relationship_type,relationship_direction,relationship_claim,evidence_ids,source_urls,confidence,limitations,record_id,data_as_of,first_seen_at,last_verified_at,event_date,event_start_at,event_end_at,time_precision,temporal_basis,source_publish_dates,source_retrieved_dates,current_validity,claim_nature,primary_evidence_id,evidence_grade_summary,verification_method,needs_refresh_after,risk_note
R4-027,长电科技,中游/封装测试/传统封装测试/OSAT/传统OSAT封装测试,Qualcomm,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,封装测试供应链线索,长电科技 -> Qualcomm,长电科技与 Qualcomm 在封装测试供应链方面存在客户或供应链关系线索。,E4-124;E4-125,https://www.digitimes.com/news/a20251030PD212/osat-jcet-packaging-qualcomm-supply-chain.html | https://www.semiconductorpackagingnews.com/press/78347.html,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-027,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-124,A-:1;B-:1,公开资料检索,2026-10-08,
R4-028,ASE,中游/封装测试/传统封装测试/OSAT/传统OSAT封装测试,Qualcomm,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,封装测试,ASE -> Qualcomm,ASE 向 Qualcomm 等移动芯片客户提供封装测试服务。,E4-126;E4-127;E4-128,https://apps.digitimes.com/news/a20170323PB202.html | https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/ASE-Case-Study-Oct-2025.pdf | https://www.dowiattdental.com/first-dry/ASE-Technology-Positioned-as-Key-Player-in-Semiconductor-Packaging-Amid-AI-Chip-Demand-29-10105,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-028,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-126,A:1;A-:1;B-:1,公开资料检索,2026-10-08,
R4-029,Amkor,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,Apple,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,封装测试,Amkor -> Apple,Amkor 向 Apple 等客户提供先进封装/封测能力。,E4-129;E4-130;E4-131;E4-132;E4-133;E4-134;E4-135,https://www.apple.com/newsroom/2023/11/apple-announces-expanded-partnership-with-amkor-for-silicon-packaging | https://packagingeurope.com/news/apple-and-amkor-to-build-advanced-packaging-facility-in-arizona/10812.article | https://aei.dempa.net/archives/34000 | https://www.azcommerce.com/news-events/news/2025/10/amkor-technology-breaks-ground-on-new-semiconductor-advanced-packaging-and-test-campus-in-peoria-expands-investment-to-7-billion | https://www.apple.com/newsroom/2025/08/apple-increases-us-commitment-to-600-billion-usd-announces-ambitious-program | https://ir.amkor.com/static-files/59a11cc8-a217-42dd-9f52-5351ff173c74,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-029,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-129,A:4;B-:3,公开资料检索,2026-10-08,
R4-030,SK hynix,中游/产品与制造/存储/HBM/DRAM/HBM,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,HBM供应,SK hynix -> NVIDIA,SK hynix 向 NVIDIA AI GPU 生态供应 HBM 存储。,E4-136;E4-137;E4-138;E4-139;E4-140;E4-141;E4-S001,https://www.reuters.com/world/asia-pacific/sk-hynix-says-ships-samples-12-layer-next-gen-hbm4e-chips-major-customers-2026-06-17 | https://finance.yahoo.com/news/nvidia-supplier-sk-hynix-says-001817249.html | https://www.semicone.com/article-385.html | https://www.cnbc.com/2025/10/29/sk-hynix-q3-profit-revenue-record-.html | https://www.jonpeddie.com/news/sk-hynix-bets-hbm-wins-nvidia-jackpot | https://www.tomshardware.com/pc-components/dram/nvidia-and-sk-hynix-ink-multi-year-memory-co-development-and-supply-agreement-seeks-to-address-extended-development-cycles | https://nvidianews.nvidia.com/news/sk-hynix-ai-factory,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-030,2026-07-08,2026-07-08,2026-07-06,2026-06-07,2026-06-07,,day,官方公告日期,2026-06-07,2026-07-05;2026-07-08,当前支持,事实判断,E4-136,A:1;A-:2;B-:4,公开资料检索,2026-10-08,
R4-031,Micron,中游/产品与制造/存储/HBM/DRAM/HBM,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,HBM供应,Micron -> NVIDIA,Micron 向 NVIDIA AI GPU 生态供应或导入 HBM 存储。,E4-142;E4-143;E4-144;E4-175,https://www.techpowerup.com/320359/nvidias-selection-of-micron-hbm3e-supposedly-surprises-competing-memory-makers | https://finance.yahoo.com/news/samsung-secures-nvidia-hbm3e-qualification-131337273.html | https://www.kedglobal.com/korean-chipmakers/newsView/ked202506100008 | https://investors.micron.com/news-releases/news-release-details/micron-commences-volume-production-industry-leading-hbm3e,high,官方公告证明 Micron HBM3E 进入 NVIDIA H200 产品链路；不外推采购金额、排他供应或未披露客户事实。,stage4::R4-031,2026-07-08,2026-07-08,2026-07-06,2024-02-26,2024-02-26,,day,官方公告日期,2024-02-26,2026-07-05;2026-07-06,当前支持,事实判断,E4-142,A:1;B-:3,公开资料检索,2026-10-08,
R4-037,ROHM,中游/特色器件/功率半导体/SiC-GaN/SiC功率器件/模块,Denso,下游/系统需求/终端应用/系统需求/新能源汽车/汽车电子,功率器件供应与战略伙伴,ROHM -> Denso,ROHM 与 Denso 在汽车半导体、SiC/功率器件供货和联合开发方面存在公开战略伙伴关系。,E4-145;E4-146;E4-147;E4-148;E4-149;E4-150,https://www.semiconductor-today.com/news_items/2024/oct/denso-rohm-011024.shtml | https://www.rohm.com/news-detail?news-title=2024-09-30_news&defaultGroupId=false | https://aei.dempa.net/archives/33096 | https://www.reuters.com/world/asia-pacific/toyota-supplier-denso-posts-sharp-jump-fourth-quarter-profit-2026-04-28 | https://www.denso.com/global/en/news/newsroom/2025/20250508-g01,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-037,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-145,A-:1;B-:5,公开资料检索,2026-10-08,
R4-038,Wolfspeed,中游/特色器件/功率半导体/SiC-GaN/SiC衬底/外延,Infineon,中游/特色器件/功率半导体/SiC-GaN/SiC功率器件/模块,SiC材料供应,Wolfspeed -> Infineon,Wolfspeed 向 Infineon 等功率半导体厂商供应 SiC 衬底/材料。,E4-151;E4-152;E4-153;E4-154;E4-155;E4-156;E4-157,https://www.wolfspeed.com/company/news-events/news/infineon-and-wolfspeed-expand-and-extend-multi-year-silicon-carbide-sic-150mm-wafer-supply-agreement | https://silicon-saxony.de/en/infineon-expansion-and-extension-of-the-multi-year-supply-agreement-for-150-mm-silicon-carbide-sic-wafers | https://www.wolfspeed.com/company/news-events/news/cree-inc-announces-long-term-silicon-carbide-wafer-supply-agreement-with-infineon | https://www.powersystemsdesign.com/articles/150mm-and-200mm-sic-wafer-supply-secured/154/21162 | https://finance.yahoo.com/news/wolfspeed-wolf-expands-wafer-supply-154600355.html | https://www.semiconductor-today.com/news_items/2024/jan/infineon-wolfspeed-230124.shtml,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-038,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-151,A:3;B-:4,公开资料检索,2026-10-08,
R4-039,Coherent,中游/特色器件/功率半导体/SiC-GaN/SiC衬底/外延,Infineon,中游/特色器件/功率半导体/SiC-GaN/SiC功率器件/模块,SiC材料供应,Coherent -> Infineon,Coherent 向 Infineon 等功率半导体厂商供应 SiC 衬底/材料。,E4-158,https://www.coherent.com/news/press-releases/ii-vi-incorporated-signs-multi-year-contract-to-supply-infineon-with-silicon-carbide-substrates-for-power-electronics,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-039,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-158,A:1,公开资料检索,2026-10-08,
R4-042,Ibiden,上游/制造支撑/半导体材料/封装材料/IC载板,Intel,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,封装载板供应,Ibiden -> Intel,Ibiden 向 Intel 等高端封装/处理器客户供应 IC 载板。,E4-159;E4-160;E4-161;E4-162;E4-163,https://finance.yahoo.com/news/nvidia-supplier-ibiden-weighs-faster-230000636.html | https://www.ibiden.com/product/items/160311.pdf | https://en.eeworld.com.cn/mp/Icbank/a391328.jspx | https://tribune.com.pk/story/2519040/nvidia-supplier-ibiden-considers-faster-expansion-to-meet-ai-demand | https://www.ibiden.com/product/items/150305.pdf,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-042,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-159,A:2;B:1;B-:2,公开资料检索,2026-10-08,
R4-043,Shinko Electric,上游/制造支撑/半导体材料/封装材料/IC载板,Intel,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,封装载板供应,Shinko Electric -> Intel,Shinko Electric 向 Intel 等高端封装/处理器客户供应 IC 载板。,E4-164;E4-165;E4-166;E4-167,https://www.ad-hoc-news.de/boerse/news/ueberblick/shinko-electric-industries-stock-intel-s-india-glass-substrate-push-lifts/69511039 | https://www.shinko.co.jp/english/news/docs/20160311.pdf | https://www.shinko.co.jp/english/news/docs/20250411_01_eng.pdf | https://www.digitimes.com/news/a20240422PD217/shinko-electric-revenue-passive-pcb-other-ic-components-demand.html,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-043,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-164,A:2;A-:1;B-:1,公开资料检索,2026-10-08,
R4-044,Unimicron,上游/制造支撑/半导体材料/封装材料/IC载板,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,封装载板供应,Unimicron -> NVIDIA,Unimicron 向 NVIDIA AI 芯片生态供应高端 IC 载板线索。,E4-168;E4-169,https://www.creating-nanotech.com/en-US/newsc72-nvidia-is-the-only-taiwanese-manufacturer-to-name-pcb-unimicron-there-are-opportunities-for-carrier-boards-thick-boards | https://www.globalsmt.net/advanced-packaging/nvidias-cowop-pcb-architecture-targets-abf-substrates-but-faces-warpage-risk,low,证据主要来自行业报道和供应链线索，尚缺 NVIDIA 或 Unimicron 官方直接披露；当前仅保留为低置信供应链线索。,stage4::R4-044,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-168,B-:2,公开资料检索,2026-10-08,
R4-045,Ibiden,上游/制造支撑/半导体材料/封装材料/IC载板,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,封装载板供应,Ibiden -> NVIDIA,Ibiden 向 NVIDIA AI 芯片生态供应高端 IC 载板线索。,E4-170;E4-171;E4-172;E4-173,https://techresearchonline.com/news/nvidia-supplier-ibiden-plans-faster-expansion | https://en.eeworld.com.cn/mp/Icbank/a408313.jspx | https://finance.yahoo.com/news/nvidia-supplier-ibiden-weighs-faster-230000636.html | https://asia.nikkei.com/business/technology/artificial-intelligence/nvidia-supplier-ibiden-to-expand-ic-substrate-output-amid-ai-boom,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-045,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-170,A-:1;B-:3,公开资料检索,2026-10-08,
R4-M001,通富微电,中游/封装测试/传统封装测试/OSAT/传统OSAT封装测试,AMD,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,封测合资与产能承接,通富微电 -> AMD,通富微电与 AMD 围绕封装测试业务设立合资公司，通富微电承接 AMD 相关封装测试产能线索。,E4-M001;E4-M002,https://ir.amd.com/news-events/press-releases/detail/684/amd-and-nantong-fujitsu-microelectronics-co-ltd-close-on-semiconductor-assembly-and-test-joint-venture | https://www.tfme.com/,high,人工核验公开资料；只表示公开披露的合资、产能承接或供应链关系，不外推交易金额、排他关系或内部客户关系。,stage4::R4-M001,2026-07-08,2026-07-08,2026-07-08,2016-04-29,2016-04-29,,day,官方公告日期,2016-04-29,2026-07-08,当前支持,事实判断,E4-M001,A:1;B-:1,公开资料检索,2026-10-08,
R4-M002,中芯国际,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,长电科技,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,先进封装合资建设,中芯国际 -> 长电科技,中芯国际与长电科技围绕 12 英寸凸块加工及配套测试设立合资项目，连接晶圆制造与先进封装测试环节。,E4-M003;E4-M004,https://www.prnewswire.com/news-releases/smic-and-jcet-establish-a-joint-venture-to-build-chinas-local-ic-manufacturing-supply-chain-246287431.html | https://www.prnewswire.com/news-releases/smic-and-jcet-establish-a-joint-venture-in-jiangyin-national-high-tech-industrial-development-zone-270442111.html,high,人工核验公开资料；只表示公开披露的合资建设和供应链协同关系，不外推交易金额、排他关系或内部客户关系。,stage4::R4-M002,2026-07-08,2026-07-08,2026-07-08,2014-02-20,2014-02-20,,day,公开新闻稿日期,2014-02-20;2014-08-08,2026-07-08,当前支持,事实判断,E4-M003,A-:2,公开资料检索,2026-10-08,
R4-M003,Qualcomm,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,中芯国际,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,先进工艺联合研发合资,Qualcomm -> 中芯国际,Qualcomm 与中芯国际曾公开参与先进 CMOS 工艺研发合资公司，体现芯片设计企业与晶圆制造环节的联合研发关系。,E4-M005,https://www.qualcomm.com/news/onq/2015/06/qualcomms-affiliate-qgt-smic-huawei-and-imec-create-equity-joint-venture-company,high,人工核验公开资料；只表示公开披露的联合研发合资关系，不外推交易金额、排他关系或内部客户关系。,stage4::R4-M003,2026-07-08,2026-07-08,2026-07-08,2015-06-23,2015-06-23,,day,官方公告日期,2015-06-23,2026-07-08,当前支持,事实判断,E4-M005,A:1,公开资料检索,2026-10-08,
R4-M004,华为,下游/系统需求/终端应用/系统需求/消费电子/通信设备,中芯国际,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,先进工艺联合研发投资,华为 -> 中芯国际,华为与中芯国际曾公开参与先进 CMOS 工艺研发公司联合投资，属于国产芯片设计/系统厂商与晶圆制造能力协同线索。,E4-M006,https://www.prnewswire.com/news-releases/smic-huawei-imec-and-qualcomm-in-joint-investment-on-smics-new-research-and-development-company-300103277.html,high,人工核验公开资料；只表示公开披露的联合研发投资关系，不外推交易金额、排他关系或内部客户关系。,stage4::R4-M004,2026-07-08,2026-07-08,2026-07-08,2015-06-23,2015-06-23,,day,公开新闻稿日期,2015-06-23,2026-07-08,当前支持,事实判断,E4-M006,A-:1,公开资料检索,2026-10-08,
R4-M005,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,浪潮信息,下游/系统需求/终端应用/系统需求/AI服务器/云基础设施,HGX系统伙伴发布,NVIDIA -> 浪潮信息,NVIDIA 官方 HGX A100 系统伙伴发布中列出浪潮信息相关系统方案，体现 GPU 算力芯片平台与 AI 服务器整机环节的生态适配关系。,E4-M007,https://nvidianews.nvidia.com/news/nvidia-and-global-partners-launch-new-hgx-a100-systems-to-accelerate-industrial-ai-and-hpc,high,人工核验公开资料；只表示公开披露的系统伙伴发布或生态适配关系，不外推交易金额、排他关系或内部客户关系。,stage4::R4-M005,2026-07-08,2026-07-08,2026-07-08,2021-06-28,2021-06-28,,day,官方公告日期,2021-06-28,2026-07-08,当前支持,事实判断,E4-M007,A:1,公开资料检索,2026-10-08,
R4-M006,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,联想,下游/系统需求/终端应用/系统需求/AI服务器/云基础设施,HGX系统伙伴发布,NVIDIA -> 联想,NVIDIA 官方 HGX A100 系统伙伴发布中列出联想相关系统方案，体现 GPU 算力芯片平台与 AI 服务器整机环节的生态适配关系。,E4-M008,https://nvidianews.nvidia.com/news/nvidia-and-global-partners-launch-new-hgx-a100-systems-to-accelerate-industrial-ai-and-hpc,high,人工核验公开资料；只表示公开披露的系统伙伴发布或生态适配关系，不外推交易金额、排他关系或内部客户关系。,stage4::R4-M006,2026-07-08,2026-07-08,2026-07-08,2021-06-28,2021-06-28,,day,官方公告日期,2021-06-28,2026-07-08,当前支持,事实判断,E4-M008,A:1,公开资料检索,2026-10-08,
R4-M007,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,Supermicro,下游/系统需求/终端应用/系统需求/AI服务器/云基础设施,HGX系统伙伴发布,NVIDIA -> Supermicro,NVIDIA 官方 HGX A100 系统伙伴发布中列出 Supermicro AI 服务器产品，体现 GPU 平台与服务器整机厂商的生态适配关系。,E4-M009,https://nvidianews.nvidia.com/news/nvidia-and-global-partners-launch-new-hgx-a100-systems-to-accelerate-industrial-ai-and-hpc,high,人工核验公开资料；只表示公开披露的系统伙伴发布或生态适配关系，不外推交易金额、排他关系或内部客户关系。,stage4::R4-M007,2026-07-08,2026-07-08,2026-07-08,2021-06-28,2021-06-28,,day,官方公告日期,2021-06-28,2026-07-08,当前支持,事实判断,E4-M009,A:1,公开资料检索,2026-10-08,
